File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,2,1,3,2,0.004
board02.txt,2,1,3,2,0.0
board03.txt,2,1,5,4,0.001
board04.txt,2,1,5,4,0.001
board05.txt,2,1,5,4,0.0
board06.txt,3,36,48,19,0.002
board07.txt,3,14,14,11,0.001
board08.txt,3,9,8,7,0.001
board09.txt,3,7,8,7,0.0
board10.txt,3,143,206,55,0.005
board11.txt,4,1373,1282,158,0.095
board12.txt,4,1712,1603,144,0.079
board13.txt,4,2760,2488,212,0.054
board14.txt,4,1601,1477,142,0.024
board15.txt,4,662,622,120,0.006
board16.txt,5,17233,13182,445,1.967
board17.txt,5,6713,5430,417,0.162
board18.txt,5,4352,3411,291,0.103
board19.txt,5,5772,4782,329,0.133
board20.txt,5,7666,5913,445,0.281
board21.txt,6,25219,18716,,
board22.txt,6,20060,14043,576,2.421
board23.txt,6,28744,21109,,
board24.txt,6,10962,7463,510,0.474
board25.txt,6,14814,10336,700,1.068
board26.txt,7,31339,21677,,
board27.txt,7,28868,20489,,
board28.txt,7,23026,17513,,
board29.txt,7,27092,19195,,
board30.txt,7,29019,21867,,
board31.txt,8,23960,17387,,
board32.txt,8,13755,11926,,
board33.txt,8,14253,13366,,
board34.txt,8,21776,16622,,
board35.txt,8,29560,20688,,
board36.txt,9,25524,18911,,
board37.txt,9,18602,18862,,
board38.txt,9,33615,22213,,
board39.txt,9,17461,19074,,
board40.txt,9,29929,19622,,
board41.txt,10,15796,14851,,
board42.txt,10,19873,13032,,
board43.txt,10,13955,12512,,
board44.txt,10,22103,18699,,
board45.txt,10,19633,17147,,
