File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,4,6,5,0.003
board02.txt,3,5,5,4,0.0
board03.txt,3,43,59,26,0.001
board04.txt,3,5,4,3,0.0
board05.txt,3,140,207,43,0.002
board06.txt,3,67,93,42,0.0
board07.txt,3,5,5,4,0.0
board08.txt,4,1741,1657,159,0.04
board09.txt,4,3082,2888,185,0.1
board10.txt,4,911,795,136,0.009
board11.txt,4,688,600,92,0.006
board12.txt,4,633,581,143,0.005
board13.txt,4,487,440,86,0.003
board14.txt,4,1197,1150,190,0.016
board15.txt,5,7927,5896,356,0.808
board16.txt,5,8670,6695,338,0.691
board17.txt,5,32607,25660,,
board18.txt,5,10118,7765,388,0.512
board19.txt,5,14034,12249,482,0.884
board20.txt,5,6300,4837,421,0.18
board21.txt,6,28931,22763,,
board22.txt,6,27654,20162,,
board23.txt,6,29097,20529,679,4.597
board24.txt,6,34899,24999,,
board25.txt,6,30322,21184,777,5.082
board26.txt,7,40861,29793,,
board27.txt,7,36194,30092,,
board28.txt,7,42721,28015,1202,7.443
board29.txt,7,28306,19692,,
board30.txt,7,35061,24357,,
board31.txt,8,41761,30211,,
board32.txt,8,36787,24683,,
board33.txt,8,36382,23853,,
board34.txt,8,31042,21142,,
board35.txt,8,32814,21792,,
board36.txt,9,26055,19577,,
board37.txt,9,36676,29818,,
board38.txt,9,26069,18847,,
board39.txt,9,48569,31918,,
board40.txt,9,31013,27732,,
