File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,4,6,5,0.002
board02.txt,3,5,5,4,0.0
board03.txt,3,49,70,16,0.001
board04.txt,3,5,4,3,0.0
board05.txt,3,266,410,21,0.004
board06.txt,3,45,61,12,0.001
board07.txt,3,5,5,4,0.01
board08.txt,4,28142,28199,37,6.683
board09.txt,4,39243,37476,37,8.129
board10.txt,4,44738,44629,,
board11.txt,4,5199,5092,30,0.106
board12.txt,4,47013,45971,,
board13.txt,4,9676,9492,32,0.734
board14.txt,4,43493,45635,,
board15.txt,5,47999,38354,,
board16.txt,5,49966,40722,,
board17.txt,5,46406,41054,,
board18.txt,5,45475,39196,,
board19.txt,5,50149,42292,,
board20.txt,5,48813,42826,,
board21.txt,6,49139,36096,,
board22.txt,6,48041,41111,,
board23.txt,6,47218,41288,,
board24.txt,6,47189,35673,,
board25.txt,6,47032,36881,,
board26.txt,7,47469,34128,,
board27.txt,7,52475,37639,,
board28.txt,7,50159,37664,,
board29.txt,7,49694,40162,,
board30.txt,7,48544,34898,,
board31.txt,8,51868,34247,,
board32.txt,8,49516,37528,,
board33.txt,8,53121,31177,,
board34.txt,8,50984,37257,,
board35.txt,8,49547,35546,,
board36.txt,9,49232,34278,,
board37.txt,9,50098,37981,,
board38.txt,9,44574,31126,,
board39.txt,9,50105,33454,,
board40.txt,9,48830,38445,,
