File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,8,6,5,0.004
board02.txt,3,8,5,4,0.0
board03.txt,3,120,124,16,0.006
board04.txt,3,7,4,3,0.0
board05.txt,3,512,592,21,0.009
board06.txt,3,90,97,12,0.001
board07.txt,3,8,5,4,0.0
board08.txt,4,44115,32681,37,8.66
board09.txt,4,46456,35390,,
board10.txt,4,46103,37224,,
board11.txt,4,13243,10029,30,0.699
board12.txt,4,46872,32216,,
board13.txt,4,28361,22990,32,4.086
board14.txt,4,44907,35665,,
board15.txt,5,47503,30415,,
board16.txt,5,52894,30244,,
board17.txt,5,49750,32879,,
board18.txt,5,45819,29292,,
board19.txt,5,51932,32205,,
board20.txt,5,49356,31803,,
board21.txt,6,49854,28561,,
board22.txt,6,51026,29608,,
board23.txt,6,51342,31005,,
board24.txt,6,48213,27866,,
board25.txt,6,47544,28724,,
board26.txt,7,51301,27509,,
board27.txt,7,54338,30060,,
board28.txt,7,52939,27219,,
board29.txt,7,54948,30168,,
board30.txt,7,50801,28033,,
board31.txt,8,56301,25659,,
board32.txt,8,54350,25087,,
board33.txt,8,56652,24816,,
board34.txt,8,57601,27362,,
board35.txt,8,52378,26318,,
board36.txt,9,48470,26211,,
board37.txt,9,51495,29567,,
board38.txt,9,45539,23369,,
board39.txt,9,54574,25337,,
board40.txt,9,52444,28022,,
