File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board001.txt,2,1,5,4,0.0
board002.txt,2,1,5,4,0.001
board003.txt,2,1,3,2,0.0
board004.txt,2,0,1,0,0.001
board005.txt,2,1,5,4,0.0
board006.txt,2,1,3,2,0.0
board007.txt,2,1,5,4,0.0
board008.txt,2,1,7,6,0.001
board009.txt,2,1,5,4,0.0
board010.txt,2,1,5,4,0.0
board011.txt,3,10,11,10,0.001
board012.txt,3,143,208,54,0.004
board013.txt,3,93,125,62,0.002
board014.txt,3,58,77,42,0.001
board015.txt,3,143,197,60,0.003
board016.txt,3,121,159,36,0.001
board017.txt,3,47,60,40,0.001
board018.txt,3,194,279,56,0.002
board019.txt,3,79,112,40,0.001
board020.txt,3,127,180,60,0.001
board021.txt,4,1889,1755,200,0.025
board022.txt,4,671,670,126,0.005
board023.txt,4,2781,2639,236,0.055
board024.txt,4,2867,2774,202,0.059
board025.txt,4,1790,1652,140,0.03
board026.txt,4,1190,1106,146,0.012
board027.txt,4,2470,2256,240,0.037
board028.txt,4,3225,2992,278,0.059
board029.txt,4,1108,1111,214,0.009
board030.txt,4,917,801,144,0.007
board031.txt,5,7117,5550,448,0.278
board032.txt,5,6393,4968,346,0.307
board033.txt,5,9824,7504,504,0.732
board034.txt,5,9706,7533,,
board035.txt,5,11960,9383,,
board036.txt,5,8477,6446,386,0.453
board037.txt,5,8641,7153,,
board038.txt,5,5003,4050,426,0.102
board039.txt,5,11759,8948,,
board040.txt,5,3041,2408,300,0.057
board041.txt,6,12935,9415,,
board042.txt,6,14539,10881,,
board043.txt,6,11995,8533,,
board044.txt,6,9733,7990,,
board045.txt,6,14076,9857,,
board046.txt,6,9450,8821,,
board047.txt,6,8515,7582,,
board048.txt,6,7989,8359,,
board049.txt,6,10917,8644,758,0.67
board050.txt,6,11671,8551,,
board051.txt,7,7278,6302,,
board052.txt,7,12967,9507,,
board053.txt,7,9169,8231,,
