File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board001.txt,2,1,5,4,0.0
board002.txt,2,1,5,4,0.001
board003.txt,2,1,3,2,0.0
board004.txt,2,0,1,0,0.001
board005.txt,2,1,5,4,0.0
board006.txt,2,1,3,2,0.0
board007.txt,2,1,5,4,0.0
board008.txt,2,1,7,6,0.0
board009.txt,2,1,5,4,0.0
board010.txt,2,1,5,4,0.0
board011.txt,3,8,16,12,0.0
board012.txt,3,131,293,92,0.002
board013.txt,3,127,292,42,0.001
board014.txt,3,169,305,36,0.002
board015.txt,3,50,179,58,0.001
board016.txt,3,54,155,44,0.0
board017.txt,3,449,877,96,0.005
board018.txt,3,209,439,88,0.002
board019.txt,3,286,578,88,0.003
board020.txt,3,189,407,88,0.001
board021.txt,4,539,925,148,0.004
board022.txt,4,631,807,146,0.004
board023.txt,4,609,806,164,0.004
board024.txt,4,978,1404,266,0.008
board025.txt,4,730,989,200,0.005
board026.txt,4,914,1235,220,0.007
board027.txt,4,703,890,188,0.004
board028.txt,4,722,987,212,0.004
board029.txt,4,321,484,132,0.002
board030.txt,4,1242,1713,198,0.011
board031.txt,5,1446,1578,294,0.01
board032.txt,5,1294,1463,296,0.009
board033.txt,5,968,1233,306,0.006
board034.txt,5,1152,1307,312,0.005
board035.txt,5,1086,1217,364,0.005
board036.txt,5,917,972,296,0.005
board037.txt,5,1378,1717,416,0.008
board038.txt,5,1449,1715,412,0.008
board039.txt,5,1429,1542,306,0.01
board040.txt,5,1226,1350,334,0.007
board041.txt,6,1802,2098,574,0.011
board042.txt,6,2385,2471,590,0.013
board043.txt,6,2474,2629,690,0.013
board044.txt,6,2220,2185,648,0.012
board045.txt,6,2307,2190,600,0.015
board046.txt,6,3157,3414,732,0.029
board047.txt,6,3223,3407,628,0.038
board048.txt,6,1804,1944,504,0.006
board049.txt,6,2352,2385,562,0.012
board050.txt,6,3247,3306,634,0.025
board051.txt,7,4157,4101,944,0.028
