File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board052.txt,7,4153,4166,1096,0.024
board053.txt,7,4282,4192,968,0.03
board054.txt,7,4973,4976,872,0.056
board055.txt,7,3234,3419,950,0.019
board056.txt,7,3961,4005,986,0.027
board057.txt,7,2614,2645,882,0.011
board058.txt,7,4663,4765,974,0.04
board059.txt,7,4118,4118,1054,0.029
board060.txt,7,3602,3338,1066,0.017
board061.txt,8,6382,6356,1496,0.05
board062.txt,8,5615,5645,1502,0.037
board063.txt,8,4725,4514,1402,0.029
board064.txt,8,4887,4536,1430,0.027
board065.txt,8,5715,5422,1428,0.039
board066.txt,8,6645,6223,1414,0.059
board067.txt,8,5071,4838,1376,0.03
board068.txt,8,4031,3959,1340,0.018
board069.txt,8,7065,6795,1612,0.072
board070.txt,8,4955,4927,1364,0.027
board071.txt,9,6949,6272,2058,0.042
board072.txt,9,7702,7101,2100,0.056
board073.txt,9,6513,6024,1946,0.043
board074.txt,9,7652,6987,1986,0.057
board075.txt,9,6886,6423,1916,0.052
board076.txt,9,7414,6753,2114,0.059
board077.txt,9,7705,7045,1916,0.09
board078.txt,9,8712,7870,2094,0.099
board079.txt,9,8310,7205,2284,0.066
board080.txt,9,6454,6167,1876,0.049
board081.txt,10,9096,7956,2658,0.072
board082.txt,10,9955,8200,2900,0.063
board083.txt,10,10986,9577,2958,0.107
board084.txt,10,9543,8457,2796,0.062
board085.txt,10,9813,8485,2754,0.064
board086.txt,10,8735,7526,2804,0.048
board087.txt,10,10770,9427,2890,0.089
board088.txt,10,9203,7863,2658,0.068
board089.txt,10,8822,7616,2772,0.059
board090.txt,10,9323,8168,2742,0.058
board091.txt,11,15220,13149,3992,0.156
board092.txt,11,12746,10412,3650,0.138
board093.txt,11,12070,9813,3578,0.097
board094.txt,11,13077,11215,3598,0.125
board095.txt,11,12556,10630,3746,0.093
board096.txt,11,13554,11521,4098,0.117
board097.txt,11,11981,9942,3778,0.078
board098.txt,11,15725,14016,3800,0.177
board099.txt,11,11905,10172,3768,0.088
board100.txt,11,12537,10659,3660,0.11
board101.txt,12,15332,12826,4562,0.132
board102.txt,12,14879,11985,4980,0.102
board103.txt,12,15996,13128,4706,0.141
board104.txt,12,14739,11662,4740,0.101
board105.txt,12,14841,11292,4528,0.15
board106.txt,12,14516,11744,4764,0.105
board107.txt,12,15401,12847,4672,0.137
board108.txt,12,15203,11904,4958,0.098
board109.txt,12,15282,12052,4900,0.099
board110.txt,12,13351,10800,4344,0.098
board111.txt,13,18889,15171,6076,0.156
board112.txt,13,22564,17037,6310,0.344
board113.txt,13,19242,14933,5906,0.174
board114.txt,13,18164,14401,5722,0.193
board115.txt,13,18592,14640,6056,0.168
board116.txt,13,19693,15124,6250,0.161
board117.txt,13,18650,14538,6118,0.16
board118.txt,13,19522,15335,6172,0.171
board119.txt,13,18009,14347,5896,0.139
board120.txt,13,17755,14003,5772,0.132
board121.txt,14,21510,16073,6986,0.181
board122.txt,14,22489,17164,7506,0.187
board123.txt,14,22473,16946,7450,0.192
board124.txt,14,24978,19705,7326,0.318
board125.txt,14,24407,18459,7814,0.205
board126.txt,14,24457,19244,7330,0.289
board127.txt,14,21788,16418,7332,0.16
board128.txt,14,21956,16513,7436,0.156
board129.txt,14,23846,18555,7590,0.215
board130.txt,14,23561,18346,7220,0.209
board131.txt,15,27839,20829,8948,0.282
board132.txt,15,28443,21315,9186,0.301
board133.txt,15,7138,3827,,
board134.txt,15,26181,19901,8576,0.302
board135.txt,15,27789,20285,8864,0.669
board136.txt,15,27940,21056,9254,0.254
board137.txt,15,27792,20131,9382,0.27
board138.txt,15,26453,19460,9010,0.233
board139.txt,15,28519,21145,9186,0.28
board140.txt,15,26271,19968,9002,0.219
board141.txt,16,34203,25134,10924,0.349
board142.txt,16,35433,25446,11064,0.4
board143.txt,16,31458,23112,10638,0.289
board144.txt,16,32904,24140,11308,0.265
board145.txt,16,36754,26050,11526,0.47
board146.txt,16,33810,25450,10930,0.33
board147.txt,16,32189,23215,10692,0.294
board148.txt,16,33522,24279,11140,0.316
board149.txt,16,33983,24131,10774,0.539
board150.txt,16,5808,3030,,
board151.txt,17,38193,27064,13260,0.568
board152.txt,17,40396,29359,13376,0.46
board153.txt,17,42109,29662,13232,0.781
board154.txt,17,36898,22756,,
board155.txt,17,41021,28586,13680,0.508
board156.txt,17,41448,29084,13518,0.841
board157.txt,17,22340,13068,,
board158.txt,17,39479,28331,13046,0.429
board159.txt,17,41585,29884,13974,0.495
board160.txt,17,38721,27493,13098,0.397
board161.txt,18,44304,31291,15402,0.452
board162.txt,18,45576,32530,15720,0.495
board163.txt,18,13590,7668,,
board164.txt,18,46737,33236,15410,0.544
board165.txt,18,45821,32856,15680,0.462
board166.txt,18,47660,33953,15844,0.561
board167.txt,18,13597,7854,,
board168.txt,18,24605,14628,,
board169.txt,18,46820,32852,16028,0.526
board170.txt,18,12126,6931,,
board171.txt,19,23370,13653,,
board172.txt,19,13124,7232,,
board173.txt,19,53073,36205,17946,0.877
board174.txt,19,59095,39826,19400,0.994
board175.txt,19,10801,6080,,
board176.txt,19,48863,30787,,
board177.txt,19,53052,33522,,
board178.txt,19,56743,40326,18748,0.684
board179.txt,19,54067,37622,18222,0.631
board180.txt,19,55552,38774,18914,0.685
board181.txt,20,64555,44737,,
board182.txt,20,9302,4898,,
board183.txt,20,57380,35580,,
board184.txt,20,67138,46701,,
board185.txt,20,60885,40944,21414,0.636
board186.txt,20,63781,43388,21454,0.867
board187.txt,20,7566,4134,,
board188.txt,20,60253,42093,20944,0.654
board189.txt,20,7437,3868,,
board190.txt,20,39725,24192,,
board191.txt,21,40844,24305,,
board192.txt,21,69499,46694,25104,0.812
board193.txt,21,75090,51408,,
board194.txt,21,73348,49358,25976,0.929
board195.txt,21,14948,8599,,
board196.txt,21,70380,47129,24754,0.939
board197.txt,21,21647,12094,,
board198.txt,21,70080,47192,24718,0.926
board199.txt,21,71469,48275,25246,0.904
board200.txt,21,71964,48194,24898,0.884
board201.txt,22,27271,15509,,
board202.txt,22,27402,15878,,
board203.txt,22,27104,15461,,
board204.txt,22,17695,10075,,
board205.txt,22,47413,27676,,
board206.txt,22,83228,54649,29258,0.999
board207.txt,22,8855,4558,,
board208.txt,22,7351,3887,,
board209.txt,22,34574,19705,,
board210.txt,22,39225,23315,,
board211.txt,23,9365,4851,,
board212.txt,23,47098,26985,,
board213.txt,23,15763,9017,,
board214.txt,23,9578,4962,,
board215.txt,23,14756,7925,,
board216.txt,23,85339,53625,,
board217.txt,23,41016,24045,,
board218.txt,23,45526,26270,,
board219.txt,23,69229,41524,,
board220.txt,23,84276,52147,,
board221.txt,24,61316,35918,,
board222.txt,24,46806,27750,,
board223.txt,24,45962,26381,,
board224.txt,24,78239,47079,,
board225.txt,24,8620,4478,,
board226.txt,24,53713,30524,,
board227.txt,24,20346,11030,,
board228.txt,24,21883,12105,,
board229.txt,24,9247,4883,,
board230.txt,24,43415,24934,,
board231.txt,25,61636,36183,,
board232.txt,25,51563,29845,,
board233.txt,25,19807,11030,,
board234.txt,25,10253,5356,,
board235.txt,25,38697,21844,,
board236.txt,25,44438,25705,,
board237.txt,25,90330,54897,,
board238.txt,25,32808,18713,,
board239.txt,25,21988,12430,,
board240.txt,25,20761,11800,,
board241.txt,26,9350,4859,,
board242.txt,26,23309,12903,,
board243.txt,26,60248,34651,,
board244.txt,26,8903,4727,,
board245.txt,26,9614,5052,,
board246.txt,26,16436,8902,,
board247.txt,26,15890,8610,,
board248.txt,26,15113,8222,,
board249.txt,26,51046,29250,,
board250.txt,26,74540,43217,,
board251.txt,27,29688,16540,,
board252.txt,27,16408,8945,,
board253.txt,27,8231,4371,,
board254.txt,27,80220,47687,,
board255.txt,27,15200,8233,,
board256.txt,27,57691,33289,,
board257.txt,27,64166,37202,,
board258.txt,27,48210,27489,,
board259.txt,27,9147,4827,,
board260.txt,27,61398,35192,,
board261.txt,28,73190,41980,,
board262.txt,28,18314,9897,,
board263.txt,28,37090,20929,,
board264.txt,28,10197,5335,,
board265.txt,28,84349,49098,,
board266.txt,28,17919,9975,,
board267.txt,28,30262,16833,,
board268.txt,28,10566,6134,,
board269.txt,28,84166,48900,,
board270.txt,28,50395,28499,,
board271.txt,29,16780,9496,,
board272.txt,29,63303,36890,,
board273.txt,29,60627,34974,,
board274.txt,29,52601,30625,,
board275.txt,29,25757,14325,,
board276.txt,29,70850,40654,,
board277.txt,29,67839,39523,,
board278.txt,29,11042,5836,,
board279.txt,29,9551,5054,,
board280.txt,29,10674,5602,,
board281.txt,30,18754,10246,,
board282.txt,30,31119,17491,,
board283.txt,30,67767,38097,,
board284.txt,30,51405,29018,,
board285.txt,30,10926,5772,,
board286.txt,30,16808,9047,,
board287.txt,30,18694,10231,,
board288.txt,30,43781,25136,,
board289.txt,30,69691,39695,,
board290.txt,30,42742,24525,,
