File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,8,6,5,0.004
board02.txt,3,8,5,4,0.001
board03.txt,3,123,140,16,0.011
board04.txt,3,7,4,3,0.001
board05.txt,3,299,376,21,0.014
board06.txt,3,80,98,12,0.001
board07.txt,3,8,5,4,0.0
board08.txt,4,23591,19109,37,6.293
board09.txt,4,59343,50294,,
board10.txt,4,60662,56816,,
board11.txt,4,15266,12442,30,2.119
board12.txt,4,56130,44259,,
board13.txt,4,18891,17036,32,4.036
board14.txt,4,56479,47414,,
board15.txt,5,56661,39550,,
board16.txt,5,62046,35823,,
board17.txt,5,56594,40461,,
board18.txt,5,59140,38589,,
board19.txt,5,59651,38498,,
board20.txt,5,61820,42347,,
board21.txt,6,58763,35700,,
board22.txt,6,62416,36233,,
board23.txt,6,57929,35466,,
board24.txt,6,58547,36616,,
board25.txt,6,55856,36310,,
board26.txt,7,61076,33105,,
board27.txt,7,61505,35043,,
board28.txt,7,68403,35215,,
board29.txt,7,69676,38868,,
board30.txt,7,63565,36569,,
board31.txt,8,68187,30970,,
board32.txt,8,63014,28972,,
board33.txt,8,69800,30530,,
board34.txt,8,66810,31707,,
board35.txt,8,67378,33761,,
board36.txt,9,66461,37145,,
board37.txt,9,65593,40121,,
board38.txt,9,61661,31288,,
board39.txt,9,68097,31667,,
board40.txt,9,62204,32840,,
